Î¸,cost,cost_baseline
5.0,3.385218344307096,2.997519166671741
5.05,3.371033183562773,2.9574752363917334
5.1,3.3616715905677896,2.9233685513095797
5.15,3.357109072900553,2.895126076112355
5.2,3.3573210731532144,2.8726709855669315
5.25,3.362283054028077,2.855939195954119
5.3,3.371970330152262,2.8448791749483826
5.35,3.3863582786051825,2.8394061716492796
5.4,3.4054219729676913,2.8394768233698016
5.45,3.4291364812129155,2.8450310808279866
5.5,3.4574765283815334,2.8560126174853555
5.55,3.4904166568735264,2.872361986396256
5.6,3.5279313080643804,2.894038779289746
5.65,3.5699945730294087,2.920988940262531
5.7,3.6165800852180574,2.953162545279657
5.75,3.667661303256165,2.990516557319827
5.8,3.7232113790836032,3.033001128010131
5.85,3.783203057787874,3.0805760438606087
5.9,3.8476091518664073,3.1331962373593365
5.95,3.91640177867825,3.190818751914425
6.0,3.9895530041996916,3.2534019845932347
6.05,4.067034719813462,3.3209043347931932
6.1,4.148817972237096,3.3932838547574518
6.15,4.234874102039805,3.470499038688083
6.2,4.325173540914392,3.552518260818968
6.25,4.41968659444051,3.639295902366229
6.3,4.518383388120725,3.7307931277664794
6.35,4.621233446556636,3.8269763936704106
6.4,4.728206130303816,3.927797600347434
6.45,4.839270457883696,4.033224734840367
6.5,4.954394902341193,4.143233299472375
6.55,5.073548006923227,4.257763596482575
6.6,5.196697549685567,4.376783127707705
6.65,5.323811196030694,4.500261826914282
6.7,5.45485639941832,4.628157052736066
6.75,5.589799970585726,4.760436490699952
6.8,5.728608627665495,4.89705037476272
6.85,5.871248859540759,5.037979155523356
6.9,6.017686571759993,5.183163683145127
6.95,6.167887415830508,5.332572810540182
7.0,6.321816857533842,5.486187141057379
7.05,6.4794403103696325,5.643958229684434
7.1,6.640722491519696,5.805836358552459
7.15,6.805627999647745,5.971778903848106
7.2,6.974121420333297,6.141762767257971
7.25,7.146166871459009,6.31574705999723
7.3,7.321728517573228,6.4937015053473335
7.35,7.500769966022273,6.6755636953496165
7.4,7.6832547892157255,6.861305197822293
7.45,7.869146463005408,7.050891061174347
7.5,8.058407956451903,7.244259664461306
